Date,F10,S10,M10,Y10,F81c,S81c,M81c,Y81c
1/1/1997,72.4,74,65.4,61.9,78,79.2,73.8,70.7
1/2/1997,72.1,73.8,66.9,63.4,77.9,79.1,73.7,70.4
1/3/1997,73.3,75,70.1,64.9,77.6,79.1,73.6,70.2
1/4/1997,73.8,76.3,71.6,65.5,77.3,79,73.4,69.8
1/5/1997,74.4,77.6,72.4,66.7,76.9,78.9,73.3,69.6
1/6/1997,73.1,77.7,71.6,66.3,76.5,78.9,73.2,69.3
1/7/1997,73.3,77.9,70.1,67.5,76.1,78.8,73.1,69
1/8/1997,73.8,78.7,74,67.9,75.8,78.7,73,68.8
1/9/1997,73.7,79.9,74.7,66.9,75.6,78.7,72.9,68.6
1/10/1997,75.4,80.3,76.3,70.5,75.4,78.7,72.8,68.3
1/11/1997,74,80.6,76.3,70,75.3,78.7,72.7,68.2
1/12/1997,74.5,80.9,73.2,70.1,75.2,78.7,72.7,68.1
1/13/1997,74.6,81.1,73.9,70,75.2,78.7,72.7,68.3
1/14/1997,74.9,81.3,73.2,73.2,75.3,78.8,72.7,68.4
1/15/1997,75.8,81.7,74.7,70.6,75.3,78.9,72.8,68.6
1/16/1997,74.8,81,75.5,69.5,75.4,79,72.9,68.8
1/17/1997,74.1,80,76.3,68.4,75.4,79.1,73,69
1/18/1997,74.6,79.8,74.7,67.1,75.5,79.2,73.1,69.1
1/19/1997,75.3,79.9,74.7,66.2,75.5,79.2,73.2,69.1
1/20/1997,76.8,79.1,73.1,65.2,75.5,79.2,73.2,69.1
1/21/1997,74.1,78.1,72.4,63.6,75.4,79.2,73.3,69
1/22/1997,73,76.5,70,64.1,75.3,79.1,73.3,68.8
1/23/1997,73.4,75.6,68.4,63.3,75.2,79.1,73.2,68.8
1/24/1997,74.2,75.5,69.2,63.2,75.1,79,73,68.7
1/25/1997,73.1,75,68.4,62.7,75,78.9,72.9,68.6
1/26/1997,74.1,75.5,68.4,63.3,74.9,78.8,72.8,68.5
1/27/1997,73.5,75.1,67.6,63.7,74.7,78.7,72.7,68.4
1/28/1997,72.9,75.2,65.3,64.8,74.6,78.6,72.5,68.3
1/29/1997,74.6,75.6,70,65.4,74.4,78.4,72.3,68.2
1/30/1997,73.6,75.5,71.5,65.2,74.3,78.4,72.2,68.1
1/31/1997,72.4,75.2,72.3,66.1,74.2,78.3,72,68
2/1/1997,71.3,74.9,70.7,67.7,74.1,78.2,72,68
2/2/1997,78.4,76.7,70.7,83.1,74,78.1,71.9,68
2/3/1997,79.6,78.3,74.6,84.3,74,78.1,71.9,68.2
2/4/1997,80.7,78.9,74.6,75.2,74,78.1,71.9,68.3
2/5/1997,75.3,78.9,75.4,72,74,78.1,72,68.5
2/6/1997,74.2,79.3,74.6,81,74,78.1,72,68.6
2/7/1997,75.7,81.1,74.6,77.9,74,78.2,72,68.7
2/8/1997,75.2,81.6,73.8,78.7,73.9,78.2,72,68.8
2/9/1997,73.2,80.2,73.1,69.2,73.9,78.2,72.1,68.9
2/10/1997,72.3,78.4,73.1,67.9,73.9,78.2,72.1,69.1
2/11/1997,71.1,76.7,70.7,67.2,73.9,78.2,72.1,69.1
2/12/1997,70.9,76,70.7,66.3,73.9,78.2,72.1,69
2/13/1997,71.1,75,66.8,65.6,73.8,78.1,72.1,69
2/14/1997,71.3,74.9,69.9,64.2,73.8,78.1,72,69.1
2/15/1997,71.8,74.9,69.1,63.2,73.7,78.1,72,69.2
2/16/1997,72,74.7,69.1,62.8,73.7,78,72,69.3
2/17/1997,73.1,74.4,62.1,64.6,73.8,78,72,69.3
2/18/1997,72.9,75.6,67.6,65.1,73.8,78,72,69.4
2/19/1997,72,75.2,66,66.5,73.8,78,72,69.6
2/20/1997,72.6,75.8,66.8,66.6,73.8,78,72,69.8
2/21/1997,73.2,75.9,66,66.8,73.9,78,72,69.9
2/22/1997,73.5,77.4,66.8,69.8,73.9,78.1,72.1,70.1
2/23/1997,74.6,77.8,66.8,69,74,78.1,72.2,70.3
2/24/1997,74.6,78.1,68.3,68.9,74,78.2,72.3,70.4
2/25/1997,74.1,78.8,72.2,67.5,74.1,78.2,72.5,70.6
2/26/1997,73.8,78.5,73.8,68.7,74.1,78.3,72.6,70.7
2/27/1997,73.8,78.7,74.6,67.9,74.1,78.3,72.6,70.9
2/28/1997,72.8,78.2,73,67.8,74.2,78.4,72.7,71
3/1/1997,71.8,78,74.6,66.6,74.2,78.4,72.7,71.2
3/2/1997,72.3,78,74.6,67.4,74.2,78.4,72.8,71.3
3/3/1997,74,79,74.6,68.7,74.2,78.4,72.9,71.5
3/4/1997,74,80.5,73,76.2,74.3,78.5,72.9,71.8
3/5/1997,74.6,81.7,75.4,80.3,74.3,78.6,73,72
3/6/1997,75.4,82.8,73.8,78.5,74.4,78.6,73.1,72.2
3/7/1997,74.1,82.1,73.8,78.3,74.4,78.7,73.1,72.3
3/8/1997,74.7,82.5,77.7,78.8,74.4,78.7,73.1,72.3
3/9/1997,75.1,82,78.5,77.8,74.4,78.7,73.1,72.3
3/10/1997,74.7,81.9,79.3,75.4,74.3,78.7,73.1,72.3
3/11/1997,74.3,81.4,78.5,74.6,74.3,78.7,73.1,72.3
3/12/1997,74.3,80.9,80.1,75.3,74.2,78.7,73,72.3
3/13/1997,74.1,80.6,79.3,73.6,74.2,78.7,73,72.2
3/14/1997,75.5,80.3,78.5,74.6,74.2,78.6,73,72.2
3/15/1997,75.8,80.8,77.8,73.4,74.1,78.6,73,71.9
3/16/1997,75.7,80.5,77,74.4,73.9,78.6,72.9,71.7
3/17/1997,75.1,80.2,74.6,69.4,73.8,78.5,72.9,71.7
3/18/1997,74.3,80,72.3,67.1,73.8,78.5,72.9,71.6
3/19/1997,73.7,78.3,67.6,64.1,73.7,78.6,72.9,71.5
3/20/1997,71.5,77.3,66,62.9,73.7,78.6,72.9,71.4
3/21/1997,70.5,74.9,66.8,62.2,73.7,78.6,72.9,71.3
3/22/1997,70.6,73.8,66.8,61.6,73.7,78.6,72.9,71.3
3/23/1997,70.7,73.5,66,61.3,73.7,78.6,73,71.4
3/24/1997,71,73.8,68.3,61.3,73.7,78.7,73.1,71.5
3/25/1997,70.6,73.5,67.6,61.9,73.7,78.7,73.2,71.6
3/26/1997,69.8,73.1,67.6,71,73.7,78.8,73.3,71.7
3/27/1997,72.2,74.1,69.1,76.2,73.7,78.9,73.4,71.8
3/28/1997,73.2,75.6,72.3,76.8,73.7,79,73.6,71.9
3/29/1997,75.3,76.8,73.8,71.5,73.7,79,73.7,71.9
3/30/1997,74,77.3,73.8,72.1,73.7,79.1,73.8,72
3/31/1997,74.7,78.2,73.8,79.8,73.7,79.1,74,72
4/1/1997,76.3,80.8,75.4,87,73.7,79.2,74.1,71.9
4/2/1997,80.5,82.7,76.2,84.1,73.7,79.2,74.1,72
4/3/1997,78.8,84.9,80.1,83,73.7,79.2,74.2,72
4/4/1997,78.5,85,82.5,85.2,73.7,79.3,74.3,71.9
4/5/1997,80.2,85.7,84.8,82.4,73.7,79.3,74.4,71.9
